Date,Revenue,Orders,Traffic,Conversion Rate,Cost,Refunds
01-Aug-26,"82,500",165,"5,000",3.30,"42,000","2,100"
02-Aug-26,"85,200",172,"5,080",3.39,"43,500","2,250"
03-Aug-26,"87,800",178,"5,160",3.45,"44,200","2,180"
04-Aug-26,"55,400",112,"5,240",2.14,"43,900","5,800"
05-Aug-26,"91,500",185,"5,260",3.52,"45,000","2,300"
06-Aug-26,"94,200",191,"5,330",3.58,"46,200","2,350"
07-Aug-26,"96,800",196,"5,430",3.61,"47,000","2,420"
08-Aug-26,"99,500",201,"5,500",3.65,"47,800","2,500"
09-Aug-26,"61,200",125,"5,620",2.22,"48,600","6,700"
10-Aug-26,"1,05,800",214,"5,660",3.78,"49,200","2,650"
11-Aug-26,"1,08,500",219,"5,730",3.82,"50,000","2,700"
12-Aug-26,"1,12,000",225,"5,810",3.87,"51,000","2,800"
13-Aug-26,"69,500",140,"5,920",2.36,"52,200","7,400"
14-Aug-26,"1,19,000",239,"5,970",4.00,"52,800","2,950"
15-Aug-26,"1,22,500",245,"6,020",4.07,"53,500","3,000"
